lng1,lat1,lng2,lat2
108.942031,34.273136,108.942031,34.273136
108.942031,34.273136,116.401159,39.902798
116.401159,39.902798,104.058986,30.676235
104.058986,30.676235,114.304197,30.577806
114.304197,30.577806,114.304197,30.577806
114.304197,30.577806,117.270667,31.863063
117.270667,31.863063,118.766351,32.053245
118.766351,32.053245,121.468973,31.232382
121.468973,31.232382,121.468973,31.232382
121.468973,31.232382,121.468973,31.232382
121.468973,31.232382,116.401159,39.902798
116.401159,39.902798,113.295827,23.116548
113.295827,23.116548,116.401159,39.902798
116.401159,39.902798,113.295827,23.116548
113.295827,23.116548,116.401159,39.902798
116.401159,39.902798,114.184921,22.350617
114.184921,22.350617,114.184921,22.350617
114.184921,22.350617,114.184921,22.350617
114.184921,22.350617,-101.407912,39.765054
-101.407912,39.765054,-101.407912,39.765054
-101.407912,39.765054,-101.407912,39.765054
-101.407912,39.765054,114.184921,22.350617
